Time (UTCG),Semi-major Axis (km),Apogee Altitude (km),Period (sec),,,
41:00.0,6667.432622,294.924095,5418.124,16860,0.195138889,0.000534261
42:00.0,6666.717826,294.676827,5417.253,16920,0.195833333,0.000536162
43:00.0,6666.002138,294.377555,5416.38,16980,0.196527778,0.000538064
44:00.0,6665.301902,294.034125,5415.527,17040,0.197222222,0.000539965
45:00.0,6664.634151,293.656368,5414.713,17100,0.197916667,0.000541866
46:00.0,6664.013118,293.253925,5413.956,17160,0.198611111,0.000543768
47:00.0,6663.449557,292.834954,5413.27,17220,0.199305556,0.000545669
48:00.0,6662.952455,292.406759,5412.664,17280,0.2,0.00054757
49:00.0,6662.530234,291.977092,5412.149,17340,0.200694444,0.000549471
50:00.0,6662.190091,291.554685,5411.735,17400,0.201388889,0.000551373
51:00.0,6661.936597,291.148883,5411.426,17460,0.202083333,0.000553274
52:00.0,6661.77103,290.769046,5411.224,17520,0.202777778,0.000555175
53:00.0,6661.692099,290.424418,5411.128,17580,0.203472222,0.000557077
54:00.0,6661.698021,290.125266,5411.135,17640,0.204166667,0.000558978
55:00.0,6661.78885,289.885802,5411.246,17700,0.204861111,0.000560879
56:00.0,6661.96674,289.727826,5411.463,17760,0.205555556,0.00056278
57:00.0,6662.232907,289.682058,5411.787,17820,0.20625,0.000564682
58:00.0,6662.583676,289.784602,5412.214,17880,0.206944444,0.000566583
59:00.0,6663.009811,290.069369,5412.734,17940,0.207638889,0.000568484
00:00.0,6663.499881,290.560233,5413.331,18000,0.208333333,0.000570386
01:00.0,6664.043613,291.265634,5413.993,18060,0.209027778,0.000572287
02:00.0,6664.631639,292.175072,5414.71,18120,0.209722222,0.000574188
03:00.0,6665.253124,293.258253,5415.467,18180,0.210416667,0.000576089
04:00.0,6665.89521,294.470729,5416.25,18240,0.211111111,0.000577991
05:00.0,6666.544761,295.764587,5417.042,18300,0.211805556,0.000579892
06:00.0,6667.189307,297.095562,5417.827,18360,0.2125,0.000581793
07:00.0,6667.815868,298.422623,5418.591,18420,0.213194444,0.000583695
08:00.0,6668.410152,299.705904,5419.316,18480,0.213888889,0.000585596
09:00.0,6668.957949,300.908516,5419.983,18540,0.214583333,0.000587497
10:00.0,6669.44677,301.999206,5420.579,18600,0.215277778,0.000589398
11:00.0,6669.865534,302.951282,5421.09,18660,0.215972222,0.0005913
12:00.0,6670.204035,303.740954,5421.502,18720,0.216666667,0.000593201
13:00.0,6670.454871,304.350691,5421.808,18780,0.217361111,0.000595102
14:00.0,6670.615965,304.774174,5422.005,18840,0.218055556,0.000597004
15:00.0,6670.689121,305.013544,5422.094,18900,0.21875,0.000598905
16:00.0,6670.6749,305.069056,5422.077,18960,0.219444444,0.000600806
17:00.0,6670.570069,304.933559,5421.949,19020,0.220138889,0.000602707
18:00.0,6670.371351,304.599659,5421.706,19080,0.220833333,0.000604609
19:00.0,6670.08076,304.070466,5421.352,19140,0.221527778,0.00060651
20:00.0,6669.705635,303.359947,5420.895,19200,0.222222222,0.000608411
21:00.0,6669.253932,302.483654,5420.344,19260,0.222916667,0.000610313
22:00.0,6668.731624,301.453498,5419.707,19320,0.223611111,0.000612214
23:00.0,6668.145521,300.283472,5418.993,19380,0.224305556,0.000614115
24:00.0,6667.506477,298.996391,5418.214,19440,0.225,0.000616016
25:00.0,6666.828444,297.622395,5417.387,19500,0.225694444,0.000617918
26:00.0,6666.125031,296.192517,5416.53,19560,0.226388889,0.000619819
27:00.0,6665.408406,294.737217,5415.657,19620,0.227083333,0.00062172
28:00.0,6664.691024,293.290942,5414.782,19680,0.227777778,0.000623622
29:00.0,6663.986609,291.895311,5413.924,19740,0.228472222,0.000625523
30:00.0,6663.309004,290.597792,5413.098,19800,0.229166667,0.000627424
31:00.0,6662.67124,289.449564,5412.321,19860,0.229861111,0.000629325
32:00.0,6662.086046,288.502242,5411.608,19920,0.230555556,0.000631227
33:00.0,6661.5658,287.796685,5410.974,19980,0.23125,0.000633128
34:00.0,6661.120815,287.346454,5410.432,20040,0.231944444,0.000635029
35:00.0,6660.758325,287.133077,5409.99,20100,0.232638889,0.000636931
36:00.0,6660.48397,287.119407,5409.656,20160,0.233333333,0.000638832
37:00.0,6660.303307,287.265362,5409.436,20220,0.234027778,0.000640733
38:00.0,6660.220325,287.534454,5409.335,20280,0.234722222,0.000642634
39:00.0,6660.234915,287.895206,5409.353,20340,0.235416667,0.000644536
40:00.0,6660.34374,288.323163,5409.485,20400,0.236111111,0.000646437
41:00.0,6660.544126,288.802032,5409.729,20460,0.236805556,0.000648338
