Time (UTCG),Apogee Altitude (km),Earth_gravity (m/sec^2),Drag (m/sec^2),SRP (m/sec^2),SUN_Gravity (m/sec^2),Moon_Gravity (m/sec^2)
42:00.0,502.195541,8.459831,0.000017,0.000002,0,0.000001
43:00.0,500.909892,8.458166,0.000016,0.000002,0,0.000001
44:00.0,499.687953,8.456465,0.000015,0.000002,0,0.000001
45:00.0,498.571377,8.454747,0.000014,0.000002,0,0.000001
46:00.0,497.601849,8.453035,0.000013,0.000002,0,0.000001
47:00.0,496.815351,8.451353,0.000013,0.000002,0,0.000001
48:00.0,496.233466,8.449724,0.000013,0.000002,0,0.000001
49:00.0,495.857717,8.44816,0.000013,0.000002,0,0.000001
50:00.0,495.671855,8.446667,0.000013,0.000002,0,0.000001
51:00.0,495.649381,8.445259,0.000013,0.000002,0,0.000001
52:00.0,495.76049,8.443956,0.000013,0.000002,0.000001,0.000001
53:00.0,495.976453,8.442765,0.000013,0.000002,0.000001,0.000001
54:00.0,496.272508,8.441681,0.000013,0.000002,0.000001,0.000001
55:00.0,496.629438,8.4407,0.000012,0.000002,0.000001,0.000001
56:00.0,497.032931,8.439834,0.000012,0.000002,0.000001,0.000001
57:00.0,497.471006,8.439109,0.000012,0.000002,0.000001,0.000001
58:00.0,497.931661,8.438535,0.000011,0.000002,0.000001,0.000001
59:00.0,498.402617,8.438093,0.000011,0.000002,0,0.000001
00:00.0,498.872739,8.437753,0.00001,0.000002,0,0.000001
01:00.0,499.333048,8.437496,0.00001,0.000002,0,0.000001
02:00.0,499.776104,8.43732,0.00001,0.000002,0,0.000001
03:00.0,500.194647,8.437227,0.000009,0.000002,0,0.000001
04:00.0,500.581099,8.437209,0.000009,0.000002,0,0.000001
05:00.0,500.928134,8.43725,0.000009,0.000002,0,0.000001
06:00.0,501.229121,8.437343,0.000009,0.000002,0,0.000001
07:00.0,501.477701,8.437487,0.000009,0.000002,0,0.000001
08:00.0,501.667132,8.437674,0.000009,0.000002,0,0.000001
09:00.0,501.79042,8.437887,0.000009,0.000002,0,0.000001
10:00.0,501.841076,8.438106,0.000009,0.000002,0,0.000001
11:00.0,501.813658,8.438319,0.00001,0.000002,0,0.000001
12:00.0,501.703597,8.438521,0.00001,0.000002,0,0.000001
13:00.0,501.50667,8.438703,0.00001,0.000002,0,0.000001
14:00.0,501.219218,8.438853,0.00001,0.000002,0,0.000001
15:00.0,500.838768,8.43896,0.00001,0.000002,0,0.000001
16:00.0,500.364825,8.439013,0.00001,0.000002,0,0.000001
17:00.0,499.802132,8.439004,0.000011,0.000002,0,0.000001
18:00.0,499.323923,8.438929,0.000011,0.000002,0,0.000001
19:00.0,499.793655,8.438792,0.000012,0.000002,0,0.000001
